,mean,mean,mean,mean,mean,mean,mean,std,std,std,std,std,std,std
,accuracy,f1_macro,f1_micro,precision_macro,precision_micro,recall_macro,recall_micro,accuracy,f1_macro,f1_micro,precision_macro,precision_micro,recall_macro,recall_micro
dtree,0.6538961038961039,0.5515996747360383,0.6538961038961039,0.5757776575276574,0.6538961038961039,0.5653495370370369,0.6538961038961039,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gnb,0.49805194805194813,0.3250274124024124,0.49805194805194813,0.2954114959114959,0.49805194805194813,0.40572159090909093,0.49805194805194813,0.0,0.0,0.0,0.0,0.0,0.0,0.0
knn,0.5805194805194805,0.42958306073011954,0.5805194805194805,0.4410142095558762,0.5805194805194805,0.4708949915824915,0.5805194805194805,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mlp,0.07813852813852815,0.019796934144760234,0.07813852813852815,0.011749903576528963,0.07813852813852815,0.08587662337662338,0.07813852813852815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
svc,0.41991341991341996,0.23361950671877146,0.41991341991341996,0.22097904676692554,0.41991341991341996,0.30186132154882156,0.41991341991341996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
