instances,features,targets,sillhouette,unbalanced,n_binary_features,majority_class_size,minority_class_size,features_with_na,missing_values,overlap,f1_score
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,0.9,0.34418226289376525
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,1.0,0.3477993199683247
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.0,0.3747619047619045
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.1,0.3327857142857139
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.2,0.35909523809523786
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.3,0.33590476190476154
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.4,0.33707142857142824
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.5,0.34314285714285697
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.6,0.34499999999999964
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.7,0.3292857142857139
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.8,0.3351190476190473
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.9,0.325285714285714
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,1.0,0.3288809523809521
1885,136,7,0.0470919500717,0.725377112418,125,1021,21,0,0,0.0,0.6025057700763056
1885,136,7,0.0470919500717,0.725377112418,125,1021,21,0,0,0.1,0.5982299568086571
1885,136,7,0.0470919500717,0.725377112418,125,1021,21,0,0,0.2,0.5923899074635182
1885,136,7,0.0470919500717,0.725377112418,125,1021,21,0,0,0.3,0.6006660801126015
1885,136,7,0.0470919500717,0.725377112418,125,1021,21,0,0,0.4,0.5972032437929503
1885,136,7,0.0470919500717,0.725377112418,125,1021,21,0,0,0.5,0.5997812428453609
1885,136,7,0.0470919500717,0.725377112418,125,1021,21,0,0,0.6,0.6017100744870969
1885,136,7,0.0470919500717,0.725377112418,125,1021,21,0,0,0.7,0.6055759442183315
1885,136,7,0.0470919500717,0.725377112418,125,1021,21,0,0,0.8,0.6033627928613435
1885,136,7,0.0470919500717,0.725377112418,125,1021,21,0,0,0.9,0.5982133428547407
1885,136,7,0.0470919500717,0.725377112418,125,1021,21,0,0,1.0,0.6023420247231284
186,272,2,0.07235513605050001,0.962900414771,236,114,72,0,0,0.0,0.6638334497459881
186,272,2,0.07235513605050001,0.962900414771,236,114,72,0,0,0.1,0.7296510507036816
186,272,2,0.07235513605050001,0.962900414771,236,114,72,0,0,0.2,0.6983376870807207
186,272,2,0.07235513605050001,0.962900414771,236,114,72,0,0,0.3,0.6852289318868264
186,272,2,0.07235513605050001,0.962900414771,236,114,72,0,0,0.4,0.6949528282175335
186,272,2,0.07235513605050001,0.962900414771,236,114,72,0,0,0.5,0.6939213293586355
186,272,2,0.07235513605050001,0.962900414771,236,114,72,0,0,0.6,0.7059232485780467
186,272,2,0.07235513605050001,0.962900414771,236,114,72,0,0,0.7,0.6880869513183754
186,272,2,0.07235513605050001,0.962900414771,236,114,72,0,0,0.8,0.679195727475139
186,272,2,0.07235513605050001,0.962900414771,236,114,72,0,0,0.9,0.682372872225813
186,272,2,0.07235513605050001,0.962900414771,236,114,72,0,0,1.0,0.6447482990865339
1885,136,7,0.00691183428864,0.5187275474899999,125,1305,3,0,0,0.0,0.7075921585908762
1885,136,7,0.00691183428864,0.5187275474899999,125,1305,3,0,0,0.1,0.7051702424968609
1885,136,7,0.00691183428864,0.5187275474899999,125,1305,3,0,0,0.2,0.7081564452833271
1885,136,7,0.00691183428864,0.5187275474899999,125,1305,3,0,0,0.3,0.717755550579104
1885,136,7,0.00691183428864,0.5187275474899999,125,1305,3,0,0,0.4,0.7142165295882852
1885,136,7,0.00691183428864,0.5187275474899999,125,1305,3,0,0,0.5,0.7154568935659493
1885,136,7,0.00691183428864,0.5187275474899999,125,1305,3,0,0,0.6,0.7143308023236058
1885,136,7,0.00691183428864,0.5187275474899999,125,1305,3,0,0,0.7,0.7180102702927535
1885,136,7,0.00691183428864,0.5187275474899999,125,1305,3,0,0,0.8,0.7174743744324401
1885,136,7,0.00691183428864,0.5187275474899999,125,1305,3,0,0,0.9,0.7167151629155383
1885,136,7,0.00691183428864,0.5187275474899999,125,1305,3,0,0,1.0,0.7191212547220844
1885,136,7,0.03684685484169999,0.705479280819,125,1038,19,0,0,0.0,0.6240166255677091
1885,136,7,0.03684685484169999,0.705479280819,125,1038,19,0,0,0.1,0.6199012038052286
1885,136,7,0.03684685484169999,0.705479280819,125,1038,19,0,0,0.2,0.6227690659981683
1885,136,7,0.03684685484169999,0.705479280819,125,1038,19,0,0,0.3,0.6263628853412134
1885,136,7,0.03684685484169999,0.705479280819,125,1038,19,0,0,0.4,0.6227456149004137
1885,136,7,0.03684685484169999,0.705479280819,125,1038,19,0,0,0.5,0.6253908009976117
1885,136,7,0.03684685484169999,0.705479280819,125,1038,19,0,0,0.6,0.624945549827903
1885,136,7,0.03684685484169999,0.705479280819,125,1038,19,0,0,0.7,0.6257283890379862
1885,136,7,0.03684685484169999,0.705479280819,125,1038,19,0,0,0.8,0.6238655149057625
1885,136,7,0.03684685484169999,0.705479280819,125,1038,19,0,0,0.9,0.6256215975534858
1885,136,7,0.03684685484169999,0.705479280819,125,1038,19,0,0,1.0,0.6265302148274283
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.0,0.80645
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.1,0.7737833333333329
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.2,0.7929499999999998
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.3,0.8037666666666662
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.4,0.8342833333333337
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.5,0.8504
249,35,14,0.126649856851,0.924282081647,17,40,9,0,0,0.6,0.8399166666666669
