instances,features,targets,sillhouette,unbalanced,n_binary_features,majority_class_size,minority_class_size,features_with_na,missing_values,overlap,f1_score
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.5,0.5863409577389882
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.6,0.5901277870213366
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.7,0.5839431079321127
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.8,0.5833144954702169
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,0.9,0.5897964182339653
5473,10,5,-0.338748353554,0.273678942628,0,4913,28,0,0,1.0,0.5878071319345842
1885,136,7,0.037507616484,0.422428732237,125,1490,4,0,0,0.0,0.4316319315346213
1885,136,7,0.037507616484,0.422428732237,125,1490,4,0,0,0.1,0.4423972303590927
1885,136,7,0.037507616484,0.422428732237,125,1490,4,0,0,0.2,0.4678645410880913
1885,136,7,0.037507616484,0.422428732237,125,1490,4,0,0,0.3,0.4709314680206936
1885,136,7,0.037507616484,0.422428732237,125,1490,4,0,0,0.4,0.4698400213419967
1885,136,7,0.037507616484,0.422428732237,125,1490,4,0,0,0.5,0.4713321294064245
1885,136,7,0.037507616484,0.422428732237,125,1490,4,0,0,0.6,0.4706872253466413
1885,136,7,0.037507616484,0.422428732237,125,1490,4,0,0,0.7,0.469641094026962
1885,136,7,0.037507616484,0.422428732237,125,1490,4,0,0,0.8,0.4759705712845786
1885,136,7,0.037507616484,0.422428732237,125,1490,4,0,0,0.9,0.4780280367447477
1885,136,7,0.037507616484,0.422428732237,125,1490,4,0,0,1.0,0.4810691886299746
1885,136,7,0.048874262773699995,0.492889036466,125,1429,39,0,0,0.0,0.39971002236652303
1885,136,7,0.048874262773699995,0.492889036466,125,1429,39,0,0,0.1,0.4047761799000156
1885,136,7,0.048874262773699995,0.492889036466,125,1429,39,0,0,0.2,0.4083987086123504
1885,136,7,0.048874262773699995,0.492889036466,125,1429,39,0,0,0.3,0.4168222565288914
1885,136,7,0.048874262773699995,0.492889036466,125,1429,39,0,0,0.4,0.4063403335525215
1885,136,7,0.048874262773699995,0.492889036466,125,1429,39,0,0,0.5,0.4034212026960061
1885,136,7,0.048874262773699995,0.492889036466,125,1429,39,0,0,0.6,0.4000280663907401
1885,136,7,0.048874262773699995,0.492889036466,125,1429,39,0,0,0.7,0.3992274684640363
1885,136,7,0.048874262773699995,0.492889036466,125,1429,39,0,0,0.8,0.40283194605609424
1885,136,7,0.048874262773699995,0.492889036466,125,1429,39,0,0,0.9,0.4011828150886285
1885,136,7,0.048874262773699995,0.492889036466,125,1429,39,0,0,1.0,0.3994275783710681
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.0,0.6044444444444447
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.1,0.7857575757575757
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.2,0.8206060606060598
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.3,0.8277777777777774
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.4,0.8468686868686865
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.5,0.8597979797979788
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.6,0.8671717171717163
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.7,0.8793939393939383
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.8,0.8874747474747464
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,0.9,0.8864646464646452
990,13,11,-0.0035013157481900005,1.0,2,90,90,0,0,1.0,0.8888888888888877
10000,16,6,-0.0150973710943,0.951183857724,1,2442,927,0,0,0.0,0.6974596263125816
10000,16,6,-0.0150973710943,0.951183857724,1,2442,927,0,0,0.1,0.7116472887347204
10000,16,6,-0.0150973710943,0.951183857724,1,2442,927,0,0,0.2,0.7333541452201999
10000,16,6,-0.0150973710943,0.951183857724,1,2442,927,0,0,0.3,0.7457469171831125
10000,16,6,-0.0150973710943,0.951183857724,1,2442,927,0,0,0.4,0.7507149438039891
10000,16,6,-0.0150973710943,0.951183857724,1,2442,927,0,0,0.5,0.7453459724283286
10000,16,6,-0.0150973710943,0.951183857724,1,2442,927,0,0,0.6,0.7510526256973756
10000,16,6,-0.0150973710943,0.951183857724,1,2442,927,0,0,0.7,0.7601253923265858
10000,16,6,-0.0150973710943,0.951183857724,1,2442,927,0,0,0.8,0.7601745421310444
10000,16,6,-0.0150973710943,0.951183857724,1,2442,927,0,0,0.9,0.7622205215786689
10000,16,6,-0.0150973710943,0.951183857724,1,2442,927,0,0,1.0,0.76347310327116
1885,136,7,0.0430714864982,0.69631939917,125,1069,13,0,0,0.0,0.5388891656403909
1885,136,7,0.0430714864982,0.69631939917,125,1069,13,0,0,0.1,0.5395503701031743
1885,136,7,0.0430714864982,0.69631939917,125,1069,13,0,0,0.2,0.5505308842409041
1885,136,7,0.0430714864982,0.69631939917,125,1069,13,0,0,0.3,0.5538078645928802
1885,136,7,0.0430714864982,0.69631939917,125,1069,13,0,0,0.4,0.5555285065582642
1885,136,7,0.0430714864982,0.69631939917,125,1069,13,0,0,0.5,0.5629524263033396
1885,136,7,0.0430714864982,0.69631939917,125,1069,13,0,0,0.6,0.5626181976199595
1885,136,7,0.0430714864982,0.69631939917,125,1069,13,0,0,0.7,0.5630137223276985
1885,136,7,0.0430714864982,0.69631939917,125,1069,13,0,0,0.8,0.5728516526069626
1885,136,7,0.0430714864982,0.69631939917,125,1069,13,0,0,0.9,0.5721958838977819
1885,136,7,0.0430714864982,0.69631939917,125,1069,13,0,0,1.0,0.5694532467795955
1479,8,10,-0.00106972663521,0.7779998900030001,1,463,20,0,0,0.0,0.35447934294388056
1479,8,10,-0.00106972663521,0.7779998900030001,1,463,20,0,0,0.1,0.3695524129710097
1479,8,10,-0.00106972663521,0.7779998900030001,1,463,20,0,0,0.2,0.3781271852033285
1479,8,10,-0.00106972663521,0.7779998900030001,1,463,20,0,0,0.3,0.4071718932550176
