instances,features,targets,sillhouette,unbalanced,n_binary_features,majority_class_size,minority_class_size,features_with_na,missing_values,overlap,f1_score
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.0,0.6869019668385046
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.1,0.7053167474110918
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.2,0.7735147670409875
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.3,0.8008285061784127
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.4,0.8334441129954463
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.5,0.8392834104480066
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.6,0.8560419938695891
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.7,0.8739202627943277
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.8,0.8819119543386581
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,0.9,0.8909854338245117
10000,16,26,0.00821745822641,0.999784949779,0,422,361,0,0,1.0,0.8912523832070605
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.0,0.1963330702026562
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.1,0.19211807756103247
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.2,0.20016215826899195
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.3,0.19608039997976484
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.4,0.20124473669983434
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.5,0.20553124746520385
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.6,0.20357288537218934
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.7,0.20841326927303092
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.8,0.20530140635688202
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,0.9,0.2091705666751769
1885,136,7,-0.042312373095500004,0.774504501351,125,759,34,0,0,1.0,0.2081514562023072
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,0.0,0.374499866407542
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,0.1,0.37386331796901
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,0.2,0.3656070488143684
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,0.3,0.3696695356943564
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,0.4,0.3691276577322309
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,0.5,0.36370359762379584
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,0.6,0.3670816948759429
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,0.7,0.3645489389365313
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,0.8,0.3640160158313585
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,0.9,0.3653336991804864
10000,58,2,0.00338645920659,0.890617592872,0,6922,3078,0,0,1.0,0.36660376007719736
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,0.0,0.3922313947151404
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,0.1,0.3884454364464183
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,0.2,0.39319392608220616
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,0.3,0.3986382695893561
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,0.4,0.4034211780508057
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,0.5,0.4060633216248642
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,0.6,0.4037367161137657
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,0.7,0.40907846307842827
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,0.8,0.41377046526020506
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,0.9,0.4127515181614474
1885,136,7,-0.0157526531626,0.957105134112,125,463,140,0,0,1.0,0.4168310350362043
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.0,0.7965238095238091
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.1,0.8119761904761902
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.2,0.8210714285714279
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.3,0.8047380952380944
209,19,7,0.135336454758,0.99996441989,1,30,29,0,0,0.4,0.8195714285714283
